DistrictID		Temperature
	1				24.75
	2				25.01
	3				25.55
	4				25.07
	5				24.43
	6				24.97
	7				25.26
	8				25.33
	9				24.22
	10				24.99
	11				25.32
	12				24.51
	13				25.69
	14				25.34
	15				25.57
	16				25.01
	17				24.59
	18				24.79
	19				24.83
	20				25.28
	21				24.34
	22				25.4
	23				24.83
	24				25.1
	25				25.83
	26				25.78
	27				25.15
	28				24.99
	29				24.69
	30				24.61
	31				24.62
	32				24.28
	33				24.83
	34				23.88
	35				24.84
	36				25.58
	37				25.18
	38				24.86
	39				25.1
	40				25.23
	41				23.98
	42				25.27
	43				25.13
	44				24.81
	45				25.23
	46				25.7
	47				24.53
	48				24.71
	49				24.7
	50				25.19
	51				24.49
	52				25.26
	53				25.12
	54				24.79
	55				24.49
	56				24.66
	57				24.38
	58				25.26
	59				25.19
	60				24.76
	61				25.2
	62				25.11
	63				25.08
	64				25.27
